id	document	label
9976970	제 감정이 이상해진 것 같아요. 남편만 보면 화가 치밀어 오르고 감정 조절이 안되요.	0
3819312	더 이상 내 감정을 내가 컨트롤 못 하겠어.	0
10265843	하루종일 오르락내리락 롤러코스터 타는 기분이에요.	0
9045019	꼭 롤러코스터 타는 것 같아요.	0
6483659	롤러코스터 타는 것처럼 기분이 왔다 갔다 해요.	0
5403919	작년 가을부터 감정조절이 잘 안 되는 거 같아.	0
7797314	예전에 비해서 인내심이 너무 짧아진 거 같아.	0
9443947	더 이상 혼자서는 감정조절을 못하겠어.	0
7156791	점점 나 자신을 컨트롤하지 못하는 기분이야.	0
5912145	나도 이러기 싫은데 내 마음대로 안돼.	0
9008700	맨정신일 때는 저를 주체할 수 가 없었거든요.	0
10217543	주체가 안 돼.	0
5957425	이렇게 쌓이고 쌓이다 나중에 확 터지거든요. 진짜 걷잡을 수 없이요.	0
8628627	근데 감정을 다스리지 못해 욱하기도하고.	0
9864035	순간순간 감정조절을 못해요.	0
6852435	평소 다른 일을 할 때도 비슷해요. 생각한대로 안되면 화가 나고…그런 상황이 지속되면 폭발해버려요.	0
9143163	예전보다 화내는 게 과격해진 거 같아.	0
4891476	화가 안 참아져.	0
7465483	근데 다음에 또 그러면 또 화가 나고… 모르겠어요. 제 감정이 통제가 안 돼요.	0
3989148	마음은 안 그런데 화를 낼 때 더 불같이 내게 되기도 하고..	0
4581211	막 내 감정을 내가 주체 못 한다나? 화 내는 게 뭔가 평소랑 다르대.	0
2718894	나도 그런 거 아닌가 걱정돼.	0
9705777	"처음엔 치료 받으면 낫겠지 생각했는데, 낫지도 않고 계속 병원을 다니니까 너무 걱정되요."	0
471131	수술한다는 말에 얼마나 걱정이 되던지…	0
8480268	다행히 수술은 잘 됐다고 해서 다행이야. 	0
4254115	솔직히 좀 걱정돼. 	0
7295746	"그때 든 생각은 이거 진짜 큰일 났구나, 그거밖에 없었어요."	0
5457633	근데 거기 다니는 애들이 저를 어떻게 생각할지 너무 걱정이 되더라고요.  	0
6091784	"아무리 고민을 해도 당장 결론이 나는 게 아닌데, 누워서 그 고민만 하다가 시간을 다 보내는 거야."	0
8322926	몸이 바쁘지 않으니까 생각이 많아져. 	0
6331922	그래서 혹시나 불미스러운 일이 있으면 어쩌나… 걱정이 돼.	0
9005897	솔직히 사무실에 딱 두 명이서 일하는데… 걱정하는 것도 오버는 아니잖아.	0
164908	나 정말 어떻게 해야 할까?? 	0
9671124	어떻게 해야 할까??	0
5712231	계속 이럴까 봐 너무 걱정돼.	0
4726746	나중에 엄마가 알게 될 텐데 어떡하지. 생각이 들면서도 발은 안 떨어져요.	0
7203432	신입생 애들이랑 나이차이가 좀 나서 적응할 수 있을지 걱정이 되더라.	0
112724	뭔가 내 몸에 이상이 생긴 건가 싶었어요. 병원에 가야 하나…	0
1105872	여행 마치고 집에 왔을 때도 또 그런 증상이 생길까봐 걱정이 됐어요.	0
4805788	근데 한편으론 내가 왜 이러나 걱정이 되기도 해요.	0
9336496	인사했는데 상대방이 안 받아주면 어떡하지? 어색하고 그럴까봐 먼저 인사를 못하겠어요.	0
9994900	"이대로 살아야 싶기도 하고, 아이를 가져도 독박육아는 이미 정해진 것 같은데… 할 수 있을까 걱정도 되고…"	1
6760577	그래서 몸에 문제가 있나 싶어서 병원을 가보려고 했다?	0
3440864	그래서 가볼까 생각중이긴 한데 또 걱정이야.	0
8548510	일은 없는데… 그냥 쓸데없는 걱정? 그런 게 좀 많아요.	0
7719892	그럼 또 나는 엄청 걱정이 되는 거야.	0
9440670	혹시 누가 들었을까 봐 조마조마할 때도 있어.	0
7991636	혹시 더 큰 문제가 있는 건 아닐까?	0
4679407	시간도 많이 걸리고… 또 틀릴까 봐 걱정스러운 마음도 계속 들고.	0
9837767	부부 사이가 혹여나 멀어지진 않을까 걱정도 돼요.	1
9063648	너무 걱정스러워요.	0
8272095	어떡하죠?	1
2345905	걱정이 이만저만이 아니야.	1
7865630	나쁜 성분 같은 게 있으면 어떻게 해.	1
7207064	뭐 큰일 있진 않겠지?	1
5719655	정말 내가 왜 이러는 걸까?	1
1651126	저는 어떡하면 좋죠?	1
7246040	걱정스럽네요.	1
717775	차라리 화를 내는 게 나으니까 너무 걱정 많이 하지 말라고 그러더라.	0
8317483	내가 요즘 그렇게 걱정을 많이 했나?	1
1031725	어떡하면 좋지…	1
3993146	아니라고 말해줘.	1
2196616	이제 어떻게 해야 하나…걱정이야.	1
8203798	살 날이 걱정입니다.	1
2332588	속은 시원한데…앞으로가 걱정이야.	1
10084753	내가 일을 할 수 있는 상황도 아니라..하루하루가 걱정이더라고..	1
8518645	그렇다고 일을 안할수도 없는데..걱정이 이만 저만이 아니야.	1
7956793	계속 이렇게 살 수는 없는데 어쩌면 좋을까?	1
3996917	계속 먹어도 되는 건지 모르겠어.	1
8128006	내가 유별난걸 아는데..걱정을 멈추는게 내맘대로 안돼.	1
2192046	근데 문제는 이게 계속 걱정된다는 거예요.	1
7250961	그게 깔끔하게 잘 제거 됐다는 걸 아는데도 그냥 걱정이 돼요.	1
5679106	예를 들어 분명 돈이 있는데도 나중에 돈이 없으면 어떡하지 이래요.	1
9179128	밥 잘 먹고 있다가도 이게 상한 거면 어떡하지 이런 걱정도 하구요.	1
9048450	그냥 되게 자잘하게 걱정이 많아.	1
8387244	다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.	1
9803156	내가 확인하지 못 한 게 있는 건 아닐까 걱정돼서요.	1
2135015	이런 걱정이 엄청 드는 거야. 아무래도 이걸 평생 하진 않을 것 같단 말이야.	1
7884025	근데 요즘엔 별의 별 걱정이 다 드는 거야.	1
9801316	이게 커가면서는 좀 덜해졌는데 요즘 들어 문득 계속 걱정이 돼.	1
2009382	"잘 지켰나, 잘 안 지킨 건가 싶어서 너무 걱정이 되거든."	1
10112591	내가 평소에도 걱정이 좀 많거든.	1
7280935	막 집에 있을 때도 갑자기 집이 무너지면 어떡하지 싶어.	0
5971506	그렇다고 해서 일도 못 하고 그러는 건 아닌데 그래도 잔 걱정이 좀 많아.	0
9875922	어떻게 하면 좋을까… 싶어서 걱정이 되게 많아요.	1
9850710	요즘 이거 때문에 잠도 안 오고 진짜 걱정돼서 미치겠다.	1
1927486	"또 실수하지는 않았을까, 걱정이 들어요."	1
5023820	아침에 눈뜨면 오늘은 뭘 해야 할지 걱정부터 들어요.	1
1859380	성격이 불같아서 걱정이에요.	1
1635552	다른 때는 그래도 괜찮은데 수업할 때도 이럴까봐 너무 걱정이야.	0
7852366	요즘 들어 내가 그런 거 아닌 건가 싶어서 걱정 된다니까.	1
9480003	그래서 더 걱정되는 것 같기도 해요.	1
1797212	진짜 걱정이 이만저만이 아니다…	1
6374262	안 해도 되는 걱정을 굳이 사서 하는 편이라 더 그랬어요.	1
1607129	근데 이거 때문에 좀 걱정이 많아요.	1
8763660	딱히 스트레스 받는 건 없었는데 진짜 그런 문제였던 건가 싶어서 걱정돼.	1
9361974	앞으로 나는 뭘 해 먹고 사나 같은 이런저런 걱정이 들고…	1
7928957	"앞으로 난 뭘 해야 할까, 내가 뭘 잘 하긴 하는 걸까 걱정이 많았거든요."	1
10250221	무슨 문제가 있는 건 아닐까 싶어서 걱정이 돼요.	1
6122458	평생 이렇게 살아야할까봐 걱정이야.	0
10044377	나도 혈압이 높은 편인데… 요즘 몸도 안 좋고 해서 자꾸 걱정이 되네..	0
6158844	나도 이러기 싫은데 자꾸 건강을 걱정하게 돼. 	0
1723799	근데 아무리 생각해도 문제가 없을 것 같지 않은 거예요.	0
10273782	내내 이렇게 누워서 환자 생활만 하면 어떡하죠?	0
1666795	호르몬에 문제가 있어서 이런걸 까봐 너무 걱정이 돼.	0
4866815	병원에 갔더니 별 이상은 없다고 하는데… 그래도 계속 걱정이 되네요.	0
7747745	무슨 큰 병이라도 걸린게 아닐까 너무 걱정 되네요.	0
8213218	병원에 가면 치료 의지가 생기는데 집에만 오면 다시 걱정을 해요.	0
8659712	위염이 위암이나 다른 암으로 발전하면 어떡하지. 이런 생각을 많이 하는 것 같아요. 	0
1204710	괜히 진짜 큰 병이면 어쩌나 싶기도 하고… 별거 아닌 걸로 병원 가는 것도 좀 그렇기도 하고. 	0
3926204	"수술도 잘 됐고, 의사도 회복만 잘 하면 된다는데 자꾸 걱정이 돼요."	0
2304429	"원래 병에 잘 걸리지 않는 편이었는데, 한 번 심장이 이상하다고 느끼니까 건강 걱정이 늘었어요."	0
9685228	"아, 내가 길 가다가 갑자기 확 쓰러지는 건 아닐까요? "	0
7115568	병원에서 몸에 큰 이상이 있다고 하면 어떡하죠?	0
6205383	한번 그러고 나서는 건강 걱정이 많아졌어. 	0
85848	"근데 너무 감정이입해서 봤는지, 나도 암에 걸리면 어떡하지라는 생각이 막 드는거에요."	0
